GENZONE,JURSCODE,ZONING,MUNICIPALITY_NAME,ACRES,TC_ID,TC_Percent_Change,LowVeg_Percent_Change,Barren_Percent_Change,Water_Percent_Change,Building_Percent_Change,Road_Percent_Change,Shrub_Percent_Change,Wetlands_Percent_Change,Imperv_Percent_Change,TC_Area_Acres_Change,LowVeg_Area_Acres_Change,Barren_Area_Acres_Change,Water_Area_Acres_Change,Buildings_Area_Acres_Change,Road_Area_Acres_Change,Shrub_Area_Acres_Change,Wetlands_Area_Acres_Change,Impervious_Area_Acres_Change,TC_OutsideForest_A_Acres_2013,TC_InsideForest_A_Acres_2013,TC_OutsideForest_A_Acres_2018,TC_InsideForest_A_Acres_2018,TC_InsideForestChange_acres,TC_OutsideForestChange_acres
MIXED USE,CHAR,MX,,311.397296,631,3.969146319,-3.945421263,0.046418588,0,0.024597884,0.016980475,-0.173216713,0,0.06149471,12.36070632,-12.2868218,0.144556659,0,0.076602674,0.052880556,-0.539431088,0,0.191506685,97.96200427,44.8953109,110.1541652,45.0638563,0.168545409,12.19216091
MIXED USE,CHAR,PUD,,8422.669283,632,-4.687430098,1.717219333,1.064642426,0.042801258,0.691165512,0.383671182,-0.00058672,-0.037535442,0.826052548,-394.8351394,144.6461112,89.67776203,3.605267786,58.21877356,32.31767974,-0.04942108,-3.161713593,69.58067985,1750.61191,2537.111075,1629.698251,2263.189595,-273.9214801,-120.9136593
MIXED USE,CHAR,RO,,147.3357421,633,-1.071922081,-0.131307101,0,0,0.22924241,-0.00067079,-0.000335395,0,0.974992957,-1.579497717,-0.193483528,0,0,0.337793082,-0.000988422,-0.000494211,0,1.436670796,64.93973766,4.113619264,63.36801896,4.105840245,-0.007779019,-1.571718698
MIXED USE,CHAR,TOD,,140.2358905,634,7.215988076,-7.151679167,0,0,0.010923705,0,-0.084218242,-0.001057133,0.010042761,10.12044876,-10.03025529,0,0,0.015320535,0,-0.118116381,-0.001482632,0.014085008,37.47443524,32.48851666,47.2151938,32.86820687,0.379690207,9.740758556
MIXED USE,CHAR,WPC,,870.8297296,635,0.146506197,-0.070089155,-0.09602498,-0.000709404,0.003547022,-2.84E-05,0,-0.000425643,0.017224339,1.27580518,-0.610350338,-0.836204674,-0.006177635,0.030888175,-0.000247105,0,-0.003706581,0.149992978,249.4986044,275.631753,250.754036,275.6521266,0.020373621,1.255431559
RURAL LOW DENSITY RESIDENTIAL,CHAR,WCD,,35103.25489,636,-0.236452377,0.070544705,-0.045411104,0.006737582,0.067622881,0.009797367,0.04790919,-0.011288898,0.090540654,-83.0088815,24.7653974,-15.94200488,2.365292889,23.73966288,3.439460063,16.81898195,-3.963076405,31.7851676,5763.290845,20786.59822,5800.623756,20666.25642,-120.3417923,37.33291083
VERY LOW DENSITY RESIDENTIAL,CHAR,AC,,163579.4399,637,0.022825941,-0.200227388,0.013858159,0.015757665,0.037721691,0.011762283,0.039483133,-0.00953363,0.068352146,37.3403441,-327.5466093,22.67019071,25.77754112,61.7079018,19.24160329,64.58939787,-15.59581022,111.8154406,26784.40049,86138.19389,27036.39397,85923.54075,-214.6531354,251.9934795
VERY LOW DENSITY RESIDENTIAL,CHAR,RC,,51311.90146,638,-0.10618552,0.012062224,0.050783751,0.019089413,0.030753881,0.007692202,-0.071609134,-0.002592639,0.060005822,-54.48921175,6.189743165,26.05973548,9.795752267,15.78138637,3.94726166,-36.74630272,-1.330415474,30.792051,8603.196565,28071.14708,8681.021056,27938.83338,-132.3137024,77.82449061
COMMERCIAL,CECI,BG,,1404.903034,639,-0.274976263,-3.497106944,-0.091430047,-0.000844457,0.210340128,-0.001266685,3.480129842,0,0.175154426,-3.862257402,-49.11961141,-1.284206764,-0.011861059,2.954392162,-0.017791589,48.8811547,0,2.460181362,321.091256,253.2755936,317.4223628,253.0822294,-0.193364183,-3.668893219
COMMERCIAL,CECI,BI,,311.9536055,640,-0.490432176,-2.581046868,-0.018061466,-0.001346688,0.607990139,0,-0.015843391,0,2.49874045,-1.529829531,-8.051188143,-0.056340031,-0.004200792,1.896533945,0,-0.04942108,0,7.794445632,67.55161348,31.09236799,66.42073649,30.69341545,-0.398952539,-1.130876992
COMMERCIAL,CECI,BL,,144.9586482,641,0.013296739,-0.524027889,-0.000511413,-0.004602717,0.244796372,-0.00681884,0,0,0.277867749,0.019274221,-0.759602,-0.000741316,-0.006671846,0.354843354,-0.009884216,0,0,0.402781802,37.89510209,6.015774592,37.90585644,6.024294469,0.008519878,0.010754343
COMMERCIAL,CECI,MB,,366.9399798,642,-0.020471794,-0.242765847,0.140810925,-0.005993387,0.060001212,-0.002491633,0,-0.000404049,0.071314572,-0.075120042,-0.890814967,0.516697391,-0.021992381,0.220170911,-0.0091429,0,-0.001482632,0.261684619,83.51510158,50.0853982,83.44701969,50.07836004,-0.00703816,-0.068081882
INDUSTRIAL,CECI,M1,,1809.968065,643,0.207316905,-0.810029638,0.24935647,0.061455044,0.071572393,-0.000969409,-0.003345142,0,0.224643377,3.752048394,-14.66002207,4.51288592,1.112221405,1.295326507,-0.017544483,-0.060540823,0,4.065625146,311.7170638,329.9422697,315.299085,330.1122968,0.170027127,3.582021267
INDUSTRIAL,CECI,M2,,3907.785059,644,-3.397220713,-1.4208138,2.302969717,0.189082646,0.813833211,-0.000695622,-0.012900622,0,1.525745183,-132.7472448,-55.51865285,89.98911483,7.38845146,31.80073524,-0.027181594,-0.504095016,0,59.61887275,1067.792907,1307.090389,992.1184715,1250.01758,-57.07280929,-75.67443554
INDUSTRIAL,CECI,MEA,,5394.366395,645,-5.345678457,-0.696787366,4.012294976,-0.060447793,0.471547758,-0.040666545,-0.006734237,-5.04E-05,1.666522056,-288.3460557,-37.58473134,216.4233109,-3.260555753,25.43530014,-2.193554636,-0.363244938,-0.002718159,89.89224952,902.1981782,2774.806035,837.9830662,2550.675091,-224.1309438,-64.21511195
LOW DENSITY RESIDENTIAL,CECI,LDR,,14766.43736,646,0.032916748,-0.296769689,0.032243782,-0.001123284,0.127152094,-0.002020572,0.021898184,-0.001918456,0.087621193,4.85883348,-43.806104,4.759497109,-0.165807723,18.76889066,-0.298256218,3.232385737,-0.283182788,12.93374374,3263.04463,4356.605808,3274.373385,4350.135887,-6.469921122,11.3287546
MEDIUM DENSITY RESIDENTIAL,CECI,MH,,2242.125807,647,-0.139428969,-0.352463208,0.081331729,-0.001069139,0.257309825,-0.008046099,0,-4.41E-05,0.16240995,-3.12588331,-7.901936481,1.823390747,-0.023969224,5.768675563,-0.180386942,0,-0.000988422,3.641098069,648.5765002,642.6947599,646.1162786,642.0290981,-0.665661757,-2.460221553
MEDIUM DENSITY RESIDENTIAL,CECI,RM,,3606.24302,649,0.013434074,-0.167072146,-0.098722268,0.000781768,0.17120729,0.074178853,0.000692619,-2.74E-05,0.00552724,0.484079479,-6.02022886,-3.557329338,0.028170016,6.169233416,2.672939112,0.024957645,-0.000988422,0.199166952,846.1017827,1037.612581,851.3884803,1032.809963,-4.802618078,5.286697556
MEDIUM DENSITY RESIDENTIAL,CECI,ST,,10395.74662,650,0.087392041,-0.242494667,-0.074579361,-0.001174516,0.11510728,-0.001145985,-0.000375655,0,0.117270861,9.082853188,-25.20302106,-7.751202187,-0.122070068,11.96336084,-0.119104803,-0.039042653,0,12.18822675,2069.644796,3555.709882,2083.49804,3550.939492,-4.770390714,13.8532439
MEDIUM DENSITY RESIDENTIAL,CECI,UR,,2038.799191,651,-0.03415712,-0.827479876,0.081138312,0.000606053,0.272153947,0.00150301,0.000290905,0,0.505944769,-0.696343017,-16.86939145,1.654123548,0.01235527,5.548257546,0.03064107,0.00593053,0,10.3144265,539.529215,609.595405,540.1708632,608.2574138,-1.337991245,0.641648228
MEDIUM DENSITY RESIDENTIAL,CECI,VR,,641.9928113,652,0.188758349,-0.756996821,-0.000692974,-0.000115496,0.345370416,-0.012473527,-0.002502405,-0.000307988,0.238960447,1.211557776,-4.85883348,-0.004447897,-0.000741316,2.216782543,-0.08006215,-0.016061851,-0.001976843,1.533783218,169.1811934,32.00806964,170.4453521,31.95546865,-0.052600985,1.264158761
MIXED USE,CECI,EMU,,576.4846014,653,0.085689583,-0.978121508,0.835634178,-0.001243121,0.06494233,-0.003600763,0,0,-0.003300699,0.493963695,-5.638451017,4.817072668,-0.007166057,0.374364681,-0.020756854,0,0,-0.019027116,169.7347803,111.3948093,170.2309666,111.3925868,-0.002222577,0.496186271
MIXED USE,CECI,RMU,,418.6024834,654,0.078989128,-0.20266792,0.013637136,-0.00259755,0.063876111,-5.90E-05,-0.007320368,0,0.056142497,0.330627025,-0.848312838,0.057081347,-0.010872638,0.267368043,-0.000247105,-0.03064107,0,0.234997235,202.1044078,99.87445282,202.4617058,99.8477819,-0.026670922,0.357297947
OTHER,CECI,OS,,16810.35589,655,0.305696591,-0.700328129,0.066932183,-0.014701365,0.009995104,0.000563457,0.243300014,-0.003399865,0.09194201,51.34652528,-117.6310662,11.24230728,-2.469324262,1.678834088,0.094641368,40.86604395,-0.571060579,15.44309908,2732.154376,7289.479655,2782.824127,7290.156429,0.676774642,50.66975064
OTHER,CECI,UNK,,4.70367021,656,1.134692162,-0.068291658,0,-1.01386846,0,0,0,0,-0.052532045,0.053374766,-0.00321237,0,-0.047691342,0,0,0,0,-0.002471054,2.872826298,0.56638666,2.924719346,0.567868377,0.001481718,0.051893049
Rural Medium Density Residential,CECI,NAR,,83687.19673,657,0.099040723,-0.315468078,0.002413329,0.003910249,0.090872806,-0.000860869,-0.00335928,-0.00066323,0.124114351,82.84159114,-263.8700188,2.018604013,3.270687074,76.00962104,-0.720065136,-2.809835503,-0.554751623,103.8141678,14776.7619,23548.30438,14905.1478,23502.76008,-45.54430333,128.3858945
Rural Medium Density Residential,CECI,NAR ,,1.47234024,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.528246638,0.896068888,0.528246638,0.896068888,2.44E-15,-2.44E-15
RURAL LOW DENSITY RESIDENTIAL,CECI,SAR,,53428.84709,659,0.178132528,-0.276952159,0.014856944,0.00499996,0.036800518,-0.000709126,-0.019122337,-0.003368925,0.065362597,95.15781849,-147.9469451,7.936531237,2.670962269,19.6587172,-0.378812578,-10.21509013,-1.799668628,34.91648723,6896.053978,9081.738931,6978.803521,9094.147207,12.40827595,82.74954253
COMMERCIAL,CARO,C1,,58.90142387,660,-0.841111694,0.131725223,0.440062926,0,-0.004614578,0,0,0,0.273938123,-0.495446327,0.077591096,0.259213565,0,-0.002718159,0,0,0,0.161359826,22.67498871,13.77923542,22.24177454,13.71700327,-0.062232151,-0.433214176
COMMERCIAL,CARO,C2,,491.7728455,661,-0.891459824,-1.137804768,0.017858374,0,0.228637487,0,0,0,1.782768732,-4.378954793,-5.589029937,0.087722417,0,1.123094043,0,0,0,8.757168271,93.0791292,31.16571302,89.04096952,30.82491791,-0.340795112,-4.038159681
HIGH DENSITY RESIDENTIAL,CARO,MH,,203.2125577,662,-0.689676137,0.349944979,0.003769387,0,0.079521896,-0.00389098,0,0,0.260330855,-1.401581829,0.711169341,0.007660267,0,0.161606932,-0.007907373,0,0,0.529052661,92.18173983,23.31631256,90.780158,23.31631256,4.97E-14,-1.401581829
MIXED USE,CARO,VC,,374.0549454,663,0.176291821,-0.282370752,0,-0.00039631,-0.002047601,-0.014729515,-0.136132426,-0.01248376,0.271868541,0.659524313,-1.056375585,0,-0.001482632,-0.007660267,-0.055104504,-0.509284229,-0.046702921,1.017085826,105.8662357,6.175059264,106.5435406,6.157278649,-0.017780615,0.677304927
INDUSTRIAL,CARO,I2,,1482.221482,664,0.195956348,-0.811314291,0.140995218,0.045442535,0.02752224,-5.00E-05,0,-0.001016873,0.402464832,2.904723977,-12.02637271,2.090017473,0.67360932,0.407971015,-0.000741316,0,-0.015073429,5.965865672,282.089786,77.38086412,284.99451,77.38086412,2.42E-13,2.904723977
VERY LOW DENSITY RESIDENTIAL,CARO,R,,184714.2233,665,-0.002907029,-0.161956699,0.084582657,0.059940165,0.060701756,0.001911473,-0.157435605,-0.001143324,0.116306607,-5.366882183,-299.0002522,156.1543038,110.6599758,112.0660055,3.528912217,-290.653526,-2.110774327,214.7222373,33742.91387,35234.57774,33758.03322,35214.09151,-20.4862314,15.11934922
MEDIUM DENSITY RESIDENTIAL,CARO,R1,,3349.384104,666,0.73717351,-1.166550209,0.04844458,-0.000516388,0.045390513,-0.000383603,0,-0.004868802,0.341310398,24.69299552,-39.07576532,1.622741162,-0.017297378,1.520439526,-0.012849481,0,-0.163089564,11.43282554,1192.97726,359.2565763,1217.608394,359.318438,0.061861721,24.6311338
MEDIUM DENSITY RESIDENTIAL,CARO,R2,,94.5116262,667,5.664204954,-5.674138945,0,0,0.031370499,-0.000261421,0,0,-0.021175087,5.354032702,-5.363422707,0,0,0.029652648,-0.000247105,0,0,-0.020015537,40.39884787,12.54126013,43.89591764,14.39822307,1.856962933,3.497069769
MEDIUM DENSITY RESIDENTIAL,CARO,VN,,1064.674143,668,0.055442656,-0.094540408,0.004341615,-0.002043113,0.003203973,0,-0.008567144,0,0.042162421,0.590087695,-1.006213189,0.04620871,-0.021745275,0.034100545,0,-0.091181893,0,0.448743406,232.0483792,101.6536256,232.6384669,101.6536256,2.42E-13,0.590087695
COMMERCIAL,CALV,EC,,853.0182942,669,-0.16997561,0.623852201,-0.55804024,-0.000695197,0.095270924,-0.155782009,-0.019552409,0,0.184922341,-1.450014487,5.321909,-4.760485531,-0.00593053,0.812729661,-1.328932841,-0.166796145,0,1.577520874,137.7431031,459.2247477,139.2305943,456.287242,-2.937505697,1.487491209
COMMERCIAL,CALV,MC,,93.94915791,670,-0.115196465,-0.218820683,0.143601073,-0.001841039,-0.039450844,-0.000263006,-0.002893062,-0.017095366,0.251959392,-0.108232165,-0.205591693,0.134919548,-0.001729738,-0.03706581,-0.000247105,-0.002718159,-0.016061851,0.236726973,18.57523639,7.530460694,18.46070693,7.536757995,0.006297301,-0.114529466
COMMERCIAL,CALV,RC,,235.5224256,671,-5.942736038,2.802660707,0.566134735,0,0.613977107,0.115828901,-0.025075278,0,1.869209866,-13.99654407,6.60092655,1.333380738,0,1.446060801,0.272804362,-0.059058191,0,4.402429806,68.92421822,50.60362903,58.30932478,47.2219784,-3.381650631,-10.61489344
INDUSTRIAL,CALV,I-1,,2414.042345,672,0.191168735,-1.770375816,-0.044544966,0.05859833,0.325581533,-0.004779986,-0.668164259,0,1.912516429,4.615187556,-42.74033841,-1.075402701,1.414678415,7.860175669,-0.115398222,-16.13079341,0,46.1718911,518.1627768,902.3006227,523.9085151,901.170072,-1.130550742,5.745738298
MIXED USE,CALV,TC,,3999.930758,673,-0.917826717,-0.388039973,0.087953915,0.015289081,0.472287444,0.078539547,-0.078088597,0,0.729885299,-36.71442612,-15.52217281,3.518286685,0.611585865,18.89219625,3.141698056,-3.123659361,0,29.19649143,982.4539222,946.926261,963.6897674,928.9759897,-17.95027125,-18.76415487
OTHER,CALV,WL,,2555.239216,674,-0.03086637,0.047798392,-0.013934348,-0.003964665,0.002050022,0,-0.00226276,-0.006034027,0.007213757,-0.788760437,1.221441992,-0.356078881,-0.101313214,0.052386345,0,-0.057822664,-0.15419377,0.184340628,219.3494445,69.319578,218.6877414,69.19252069,-0.127057308,-0.661703129
RURAL LOW DENSITY RESIDENTIAL,CALV,FFD,,56051.97497,675,-0.03561849,-0.029519265,-0.00783739,0.000125635,0.069689693,-0.004320946,-0.07115631,-0.001606799,0.080243875,-19.96611632,-16.54716601,-4.393286907,0.070425039,39.06489269,-2.422127131,-39.88701235,-0.900699183,44.98109017,10082.48642,26784.65257,10097.51144,26749.66143,-34.99113816,15.02502184
RURAL LOW DENSITY RESIDENTIAL,CALV,RCD,,53990.93079,676,-0.879921096,0.447207835,-0.053873663,0.000800881,0.171513015,0.031206443,-0.076880458,-0.000534989,0.360482032,-475.1120236,241.4691729,-29.08900058,0.43243445,92.60818497,16.84987012,-41.51148325,-0.288866213,194.6417112,11649.47845,26839.82026,11608.74091,26405.44578,-434.3744867,-40.73753689
VERY LOW DENSITY RESIDENTIAL,CALV,RD,,15095.01222,677,-1.248591139,0.605819591,0.256609357,-0.001458501,0.284707184,-0.043727192,-0.015735765,-0.000618758,0.162995223,-188.4835975,91.45272012,38.73698382,-0.220170911,42.97854801,-6.60092655,-2.37542421,-0.093405841,24.6052731,5326.69756,5525.060375,5231.281403,5431.992935,-93.06744088,-95.41615665
COMMERCIAL,BACO,BL,,1884.721798,678,-0.496723429,-0.074667158,0.076633808,0.000196665,0.346825341,-0.040119667,0,0,0.18785444,-9.361835184,-1.407265253,1.444331063,0.003706581,6.536679146,-0.756142524,0,0,3.540526171,246.7790328,27.72071895,238.148055,26.98986161,-0.730857344,-8.63097784
MIXED USE,BACO,BLR,,162.6735107,679,-0.105425141,0.072308887,-1.178665233,0,0.62130955,-0.17196147,0,0,0.762433407,-0.171491148,0.11762217,-1.917290799,0,1.010661086,-0.279723313,0,0,1.240222003,19.39054803,0.703815993,19.21831602,0.704556852,0.000740859,-0.172232007
COMMERCIAL,BACO,BM,,1633.94522,680,-0.389615123,-0.650366742,-0.859261424,-0.020264886,0.858248179,-0.264290412,-0.097422685,0,1.422973092,-6.36617642,-10.62676773,-14.04003462,-0.331121236,14.02347856,-4.31841397,-1.591852987,0,23.2508884,238.9519963,31.16756517,232.6465703,31.10681474,-0.060750433,-6.305425987
COMMERCIAL,BACO,BMB,,126.9420337,681,-0.184317267,-2.450427024,-0.608616784,-0.000389266,0.910297632,-0.006033617,0,-0.000194633,2.339680958,-0.234008814,-3.111056986,-0.772698586,-0.000494211,1.155711956,-0.007660267,0,-0.000247105,2.970454013,16.87293186,0.131132032,16.63892304,0.131132032,2.78E-16,-0.234008814
COMMERCIAL,BACO,BMM,,67.71743326,682,-0.075167942,-4.02951254,8.059754865,0.135740167,0.033570149,-0.003648929,0,0,-4.12073577,-0.050903712,-2.728784932,5.458064075,0.091923209,0.022733697,-0.002471054,0,0,-2.790561282,18.24222688,0.067047734,18.19132317,0.067047734,2.36E-16,-0.050903712
COMMERCIAL,BACO,BR,,1130.108991,684,-0.464897221,-0.419111557,0.748051157,-4.37E-05,0.06671063,-0.010342225,0,0,0.079632945,-5.253955015,-4.736516307,8.453969945,-0.000494211,0.753918575,-0.116880854,0,0,0.899957867,171.60425,16.49855816,166.798885,16.04996807,-0.448590088,-4.805364927
MIXED USE,BACO,CB,,62.82191055,685,-0.093628539,-0.09205495,0,0,0.121953139,-0.010621725,0,0,0.074352075,-0.058811085,-0.057822664,0,0,0.076602674,-0.006671846,0,0,0.046702921,10.74295724,0.281155968,10.68414616,0.281155968,0,-0.058811085
COMMERCIAL,BACO,O 3,,179.7995398,686,-0.601814376,-1.794860871,-0.20546072,0,-0.091117363,-0.003710662,0,0,2.696963991,-1.082074547,-3.227196524,-0.369422573,0,-0.16383088,-0.006671846,0,0,4.84919637,35.4036071,9.730441316,34.42784581,9.624128058,-0.106313258,-0.975761289
COMMERCIAL,BACO,OR 1,,423.6663884,687,-1.252954338,1.24706316,-0.364144776,0,0.170144211,-0.02554788,0,0,0.225439622,-5.308071097,5.283113452,-1.542679012,0,0.720806452,-0.108232165,0,0,0.955062371,99.39491182,10.5724275,95.70043149,8.95883673,-1.613590771,-3.694480326
COMMERCIAL,BACO,OR 2,,669.8317594,688,-0.925061736,-0.699182289,0.823465787,0.045596439,0.203782143,0.059836104,0,0,0.491563552,-6.19641501,-4.683388646,5.515886739,0.305422274,1.36501023,0.400804959,0,0,3.292679455,155.7635217,46.06623845,150.4835492,45.14979594,-0.916442509,-5.279972502
COMMERCIAL,BACO,OT,,983.4972467,689,-0.146976616,-0.462787908,-0.0618558,-5.02E-05,0.007587511,-0.103888599,0,0,0.76797166,-1.44556659,-4.551681468,-0.608373495,-0.000494211,0.074625831,-1.021780829,0,0,7.553270762,236.2076533,158.899055,234.6972615,158.9638801,0.064825157,-1.510391747
COMMERCIAL,BACO,RCC,,57.39784942,690,-0.575961981,0.071887631,0.22771591,0,0.105033426,-0.033576259,0,0,0.204901273,-0.330627025,0.041266602,0.130718757,0,0.060293718,-0.019274221,0,0,0.11762217,9.697608713,0.331163946,9.373649418,0.324496216,-0.00666773,-0.323959295
COMMERCIAL,BACO,RO,,465.3585871,691,-0.754087828,0.356123579,0.061061893,0,0.258052869,0.022353963,0,0,0.056495525,-3.509390891,1.657335918,0.28417121,0,1.200932244,0.104031373,0,0,0.262920146,98.95929037,2.205907493,95.59547826,2.060328712,-0.145578782,-3.363812109
COMMERCIAL,BACO,ROA,,73.23351167,692,-0.893068011,0.713239809,0.083672409,0,0.317145421,-0.042173593,0,0,-0.178816035,-0.654087994,0.522380816,0.061282139,0,0.232279076,-0.030888175,0,0,-0.130965862,16.53235582,0.226332406,15.8778974,0.226702836,0.000370429,-0.654458423
COMMERCIAL,BACO,SE,,48.47654083,693,-1.361588027,1.273908079,0,0,0.004587904,-0.005607439,0,0,0.088699482,-0.660018523,0.617516395,0,0,0.002223949,-0.002718159,0,0,0.04299634,16.83350837,4.31846676,16.62059822,3.87135839,-0.44710837,-0.212910153
COMMERCIAL,BACO,BL,,614.4463415,694,-0.191338687,-0.00422248,-0.009450313,0,0.111835412,-0.011099092,0,0,0.104275161,-1.175727493,-0.025946067,-0.058069769,0,0.687200117,-0.06820109,0,0,0.640744302,54.8209331,0.571943102,53.63890831,0.578240403,0.006297301,-1.182024794
COMMERCIAL,BACO,BM,,148.5627368,695,-0.013971731,-2.921422322,0,-0.015967692,0.49034121,-0.014969711,0,0,2.475990246,-0.020756854,-4.340159246,0,-0.023722118,0.728466719,-0.022239486,0,0,3.678410984,10.42371883,0.716781024,10.40296198,0.716781024,2.55E-15,-0.020756854
COMMERCIAL,BACO,BR,,543.002472,696,-0.178105817,-0.19858298,0,0,-0.022251851,-0.00718976,0,0,0.406130408,-0.967170536,-1.078367966,0,0,-0.120834541,-0.039042653,0,0,2.205415695,60.40827862,0.044821966,59.43999679,0.045933254,0.001111288,-0.968281824
COMMERCIAL,BACO,BL,,529.4711291,698,-0.256306149,0.215797457,0,0,0.054182709,-0.029634815,0,0,0.015960798,-1.357102857,1.14261537,0,0,0.286889369,-0.156911929,0,0,0.084510047,32.06269303,0.04222896,30.70559017,0.04222896,0,-1.357102857
COMMERCIAL,BACO,BM,,455.7932986,699,-1.027036141,0.04288353,0,0,0.98464054,-0.017457012,0,0,0.016969083,-4.681164698,0.195460371,0,0,4.487928275,-0.079567939,0,0,0.07734399,44.23242666,0.106683687,39.55126196,0.106683687,2.36E-16,-4.681164698
COMMERCIAL,BACO,BL,,240.2724381,701,-0.55959404,-0.012341717,0.045972898,0,0.073947457,-0.009461983,0,0,0.461477386,-1.344500481,-0.029652648,0.110456114,0,0.177668783,-0.022733697,0,0,1.10876193,55.82651421,10.75801267,54.58202968,10.65799671,-0.100015957,-1.244484525
COMMERCIAL,BACO,BM,,77.68800113,702,-0.093194273,0.612919334,-0.673352481,0,0.045165825,-0.021946774,0,0,0.130408369,-0.072401882,0.476172106,-0.523122132,0,0.035088967,-0.017050273,0,0,0.101313214,13.27214809,0.189659889,13.20122793,0.188178171,-0.001481718,-0.070920164
COMMERCIAL,BACO,BR,,22.91861582,703,-0.487399851,0.143416328,0,0,0.764527643,0,0,0,-0.420544119,-0.111691641,0.032865018,0,0,0.175197729,0,0,0,-0.096371106,3.21480801,0.146319641,3.104598087,0.144837923,-0.001481718,-0.110209923
COMMERCIAL,BACO,RO,,19.83321866,705,-0.118362363,-0.074755177,0,0,0.068525579,-0.008721437,0,0,0.133313399,-0.023475013,-0.014826324,0,0,0.013590797,-0.001729738,0,0,0.026440278,3.123490905,0.127427738,3.100015892,0.127427738,5.27E-16,-0.023475013
COMMERCIAL,BACO,BM,,1010.156141,707,-0.608633243,0.247944478,-0.058243469,-0.000391388,-0.696940224,-0.02656548,0,0,1.142829326,-6.148229457,2.504660334,-0.588357957,-0.003953686,-7.040279951,-0.268356464,0,0,11.54451718,117.217821,2.064403436,111.0695916,2.064403436,4.88E-15,-6.148229457
